pool	jp	ko
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<どく>{C1C}{C01}\n　次のターン相手は{C1C}{C05}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<독>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C05}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}５pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　상대에게 {C1C}{C04}５pt{C1C}{C01}의\n　　대미지를 준다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C04}\n\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　相手ＣＰの{C1B}{C04}の数\n　×{C1C}{C04}２pt{C1C}{C01}の体力を\n　かいふくする。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C04}\n\n　{C1C}{C04}<회복>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C04} 수\n　×{C1C}{C04}２pt{C1C}{C01}의 체력을\n　회복한다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}６pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<どく>{C1C}{C01}\n　次のターン相手は{C1C}{C05}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n　　상대에게 {C1C}{C04}６pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<독>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C05}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<リフレッシュ>{C1C}{C01}\n　　自分のステータスを\n　　{C1C}{C04}リフレッシュ{C1C}{C01}する。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<리프레시>{C1C}{C01}\n　　자신의 상태를\n　　{C1C}{C04}리프레시{C1C}{C01}한다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　自分ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C02}にする。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<ＣＰ부스트>{C1C}{C01}\n　자신ＣＰ의 크리스탈을\n　{C1C}{C04}전부{C1C}{C01} {C1B}{C02}로 바꾼다.
abil	┌┐{C1C}{C04}<マークブースト>{C1C}{C01}\n└┘相手カードの\n　　{C1C}{C04}アンマークの数{C1C}{C01}×{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<마크 부스트>{C1C}{C01}\n└┘상대 카드의\n　　{C1C}{C04}언마크 수{C1C}{C01}×{C1C}{C04}２pt{C1C}{C01}의\n　　대미지를 준다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　相手ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C02}にする。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<ＣＰ부스트>{C1C}{C01}\n　상대ＣＰ의 크리스탈을\n　{C1C}{C04}전부{C1C}{C01} {C1B}{C02}로 바꾼다.
abil	┌┐{C1C}{C04}<マークブースト>{C1C}{C01}\n└┘相手カードの\n　　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　　×{C1C}{C04}４pt{C1C}{C01}のダメージを\n　　あたえる。	┌┐{C1C}{C04}<마크 부스트>{C1C}{C01}\n└┘상대 카드의\n　　{C1C}{C04}가드 아이콘 수{C1C}{C01}\n　　×{C1C}{C04}４pt{C1C}{C01}의 대미지를\n　　준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<カラーブースト>{C1C}{C01}\n　相手カードが{C1C}{C05}■{C1C}{C01}なら\n　こうげき力が{C1C}{C04}倍{C1C}{C01}になる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　상대에게 {C1C}{C04}４pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<컬러 부스트>{C1C}{C01}\n　상대 카드가 {C1C}{C05}■{C1C}{C01}라면\n　공격력이 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C02}を{C1C}{C04}２個{C1C}{C01}\n　こわす。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C02}을 {C1C}{C04}２개{C1C}{C01}\n　부순다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}\n　　相手に{C1C}{C04}５pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}\n　　상대에게 {C1C}{C04}５pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C04}\n\n　　自分ＣＰの{C1B}{C02}{C1B}{C04}の\n　　合計数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C04}\n\n　　자신ＣＰ의{C1B}{C02}{C1B}{C04}의\n　　합계 수×{C1C}{C04}１pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<マークブースト>{C1C}{C01}\n　相手カードの\n　{C1C}{C04}アンマークの数{C1C}{C01}×{C1C}{C04}４pt{C1C}{C01}\n　のダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<마크 부스트>{C1C}{C01}\n　상대 카드의\n　{C1C}{C04}언마크 수{C1C}{C01}×{C1C}{C04}４pt{C1C}{C01}\n　의 대미지를 준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}７pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　상대에게 {C1C}{C04}７pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<こおり>{C1C}{C01}\n　次のターン相手は{C1C}{C06}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<얼음>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C06}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}３個{C1C}{C01}\n　こわす。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}\n　　상대에게 {C1C}{C04}３pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C01}을 {C1C}{C04}３개{C1C}{C01}\n　부순다.
abil	┏┓{C1C}{C04}<カラーブースト>{C1C}{C01}\n┗┛相手カードが\n　　{C1C}{C04}■{C1C}{C01}なら{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。	┏┓{C1C}{C04}<컬러 부스트>{C1C}{C01}\n┗┛상대 카드가\n　　{C1C}{C04}■{C1C}{C01}라면 {C1C}{C04}４pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}８pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n　　상대에게 {C1C}{C04}８pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}{C1B}{C04}\n　　相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　　あたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}{C1B}{C04}\n　　상대ＣＰ의 {C1B}{C01} 수\n　　×{C1C}{C04}３pt{C1C}{C01}의 대미지를\n　　준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}すべて{C1C}{C01}\n　こわす。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　상대에게 {C1C}{C04}３pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C01}을 {C1C}{C04}전부{C1C}{C01}\n　부순다.
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}３個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ드레인>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C03}을 {C1C}{C04}３개{C1C}{C01}\n　빼앗아\n　자신ＣＰ에 충전한다.
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルを{C1C}{C04}２個{C1C}{C01}\n　こわす。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대 카드와 {C1C}{C04}같은 색{C1C}{C01}의\n　크리스탈을 {C1C}{C04}２개{C1C}{C01}\n　부순다.
abil	├┬{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┴┤ＣＰ：{C1B}{C03}{C1B}{C03}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　自分ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C03}にする。	├┬{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┴┤ＣＰ：{C1B}{C03}{C1B}{C03}\n\n　{C1C}{C04}<ＣＰ부스트>{C1C}{C01}\n　자신ＣＰ의 크리스탈을\n　{C1C}{C04}전부{C1C}{C01} {C1B}{C03}로 바꾼다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}\n　　相手ＣＰの{C1B}{C02}{C1B}{C03}の\n　　合計数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}\n　　상대ＣＰ의 {C1B}{C02}{C1B}{C03}의\n　　합계 수×{C1C}{C04}１pt{C1C}{C01}의\n　　대미지를 준다.
abil	├┬{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┴┤ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　相手ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C03}にする。	├┬{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┴┤ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n\n　{C1C}{C04}<ＣＰ부스트>{C1C}{C01}\n　상대ＣＰ의 크리스탈을\n　{C1C}{C04}전부{C1C}{C01} {C1B}{C03}로 바꾼다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n　　相手ＣＰの{C1B}{C02}{C1B}{C03}の\n　　合計数×{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n　　상대ＣＰ의 {C1B}{C02}{C1B}{C03}의\n　　합계 수×{C1C}{C04}２pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ちんもく>{C1C}{C01}\n　次のターン終了まで\n　相手はｸﾘｽﾀﾙｱﾋﾞﾘﾃｨが\n　{C1C}{C04}つかえなくなる{C1C}{C01}。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<침묵>{C1C}{C01}\n　다음 턴 종료까지\n　상대는 크리스탈어빌을\n　{C1C}{C04}쓸 수 없게 된다{C1C}{C01}.
abil	┏┓{C1C}{C04}<かいふく>{C1C}{C01}\n┗┛自分ＣＰの{C1B}{C03}の数\n　　×{C1C}{C04}２pt{C1C}{C01}の体力を\n　　かいふくする。	┏┓{C1C}{C04}<회복>{C1C}{C01}\n┗┛자신ＣＰ의 {C1B}{C03} 수\n　　×{C1C}{C04}２pt{C1C}{C01}의 체력을\n　　회복한다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<リフレッシュ>{C1C}{C01}\n　自分のステータスを\n　{C1C}{C04}リフレッシュ{C1C}{C01}する。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　상대에게 {C1C}{C04}３pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<리프레시>{C1C}{C01}\n　자신의 상태를\n　{C1C}{C04}리프레시{C1C}{C01}한다.
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<こおり>{C1C}{C01}\n　次のターン相手は{C1C}{C06}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┏┓상대에게 {C1C}{C04}２pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<얼음>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C06}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}２個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。	┏┓상대에게 {C1C}{C04}２pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<ＣＰ드레인>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C03}을 {C1C}{C04}２개{C1C}{C01}\n　빼앗아\n　자신ＣＰ에 충전한다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分ＣＰの{C1B}{C03}の数×{C1C}{C04}５pt\n　{C1C}{C01}の体力をかいふくする。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}{C1B}{C03}\n　　상대에게 {C1C}{C04}２pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<회복>{C1C}{C01}\n　자신ＣＰ의 {C1B}{C03} 수×{C1C}{C04}５pt\n　{C1C}{C01}의 체력을 회복한다.
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C02}を\n　{C1C}{C04}２個{C1C}{C01}こわす。	┏┓상대에게 {C1C}{C04}２pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의{C1B}{C02}을\n　{C1C}{C04}２개{C1C}{C01} 부순다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}３個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ드레인>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C03}을 {C1C}{C04}３개{C1C}{C01}\n　빼앗아\n　자신ＣＰ에 충전한다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}\n　{C1C}{C04}<マークブースト>{C1C}{C01}\n　相手カードの\n　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　あたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}\n　{C1C}{C04}<마크 부스트>{C1C}{C01}\n　상대 카드의\n　{C1C}{C04}가드 아이콘 수{C1C}{C01}\n　×{C1C}{C04}３pt{C1C}{C01}의 대미지를\n　준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}２pt{C1C}{C01}のダメージを\n　　あたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　상대ＣＰ의 {C1B}{C01} 수\n　　×{C1C}{C04}２pt{C1C}{C01}의 대미지를\n　　준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C04}\n　{C1C}{C04}<マークブースト>{C1C}{C01}\n　相手カードの\n　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　×{C1C}{C04}５pt{C1C}{C01}のダメージを\n　あたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C04}\n　{C1C}{C04}<마크 부스트>{C1C}{C01}\n　상대 카드의\n　{C1C}{C04}가드 아이콘 수{C1C}{C01}\n　×{C1C}{C04}５pt{C1C}{C01}의 대미지를\n　준다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの中で\n　{C1C}{C04}一番多いクリスタル{C1C}{C01}を\n　{C1C}{C04}すべて{C1C}{C01}こわす。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ 중에서\n　{C1C}{C04}가장 많은 크리스탈{C1C}{C01}을\n　{C1C}{C04}전부{C1C}{C01} 부순다.
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ちんもく>{C1C}{C01}\n　次のターン終了まで\n　相手はｸﾘｽﾀﾙｱﾋﾞﾘﾃｨが\n　{C1C}{C04}つかえなくなる{C1C}{C01}。	┏┓상대에게 {C1C}{C04}２pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<침묵>{C1C}{C01}\n　다음 턴 종료까지\n　상대는 크리스탈어빌을\n　{C1C}{C04}쓸 수 없게 된다{C1C}{C01}.
abil	┌┐相手に{C1C}{C04}４pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ヘイスト>{C1C}{C01}\n　次のターン自分は必ず\n　{C1C}{C04}先攻{C1C}{C01}になる。	┌┐상대에게 {C1C}{C04}４pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<헤이스트>{C1C}{C01}\n　다음 턴 자신은 반드시\n　{C1C}{C04}선공{C1C}{C01}이 된다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C04}{C1B}{C04}\n\n　　{C1C}{C04}<リフレク>{C1C}{C01}\n　　相手の{C1C}{C04}こうげき能力{C1C}{C01}を\n　　そのまま相手へ{C1C}{C04}返す{C1C}{C01}。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C04}{C1B}{C04}\n\n　　{C1C}{C04}<리플렉트>{C1C}{C01}\n　　상대의 {C1C}{C04}공격 능력{C1C}{C01}을\n　　상대에게 {C1C}{C04}반사{C1C}{C01}한다.
abil	┏┓{C1C}{C04}<かいふく>{C1C}{C01}\n┗┛自分の体力を{C1C}{C04}１０pt{C1C}{C01}\n　　かいふくする。	┏┓{C1C}{C04}<회복>{C1C}{C01}\n┗┛자신의 체력을 {C1C}{C04}１０pt{C1C}{C01}\n　　회복한다.
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの中で\n　{C1C}{C04}一番多いクリスタル{C1C}{C01}を\n　{C1C}{C04}すべて{C1C}{C01}こわす。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ 중에서\n　{C1C}{C04}가장 많은 크리스탈{C1C}{C01}을\n　{C1C}{C04}전부{C1C}{C01} 부순다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C01}{C1B}{C02}{C1B}{C03}{C1B}{C04}{C1B}{C04}{C1B}{C04}\n\n　　{C1C}{C04}<リフレク>{C1C}{C01}\n　　相手の{C1C}{C04}こうげき能力{C1C}{C01}を\n　　{C1C}{C04}倍{C1C}{C01}にして相手へ\n　　{C1C}{C04}返す{C1C}{C01}。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C01}{C1B}{C02}{C1B}{C03}{C1B}{C04}{C1B}{C04}{C1B}{C04}\n\n　　{C1C}{C04}<리플렉트>{C1C}{C01}\n　　상대의 {C1C}{C04}공격 능력{C1C}{C01}을\n　　{C1C}{C04}2배{C1C}{C01}로 해서 상대에게\n　　{C1C}{C04}돌려준다{C1C}{C01}.
