# 카드 게임 글 원문(tools/pudtext.py) — 경로	형식	번호	원문
romdata/PUD/mgentryphase/text/en/expl/mg008.ptx	ptx	1	{1B}BRules{1B}{1B}\nControl the chocobo by sliding\nthe stylus. Tap twice to initiate\na rolling attack. Use this to steal\ncoins from your opponents.{00}
romdata/PUD/mgentryphase/text/en/expl/mg009.ptx	ptx	0	{1B}BRules{1B}{1B}\nListen carefully to the\nmusicians' magical melody!\nThen be on the right panel\nat the right time!{00}
romdata/PUD/mgentryphase/text/en/expl/mg009.ptx	ptx	1	{1B}BRules{1B}{1B}\nTap the panels to move to the\nappropriate instrument when\nrepeating the last tune.{00}
romdata/PUD/mgentryphase/text/en/expl/mg010.ptx	ptx	0	{1B}BRules{1B}{1B}\nListen carefully to the\nmusicians' magical melody!\nThen be on the right panel\nat the right time!{00}
romdata/PUD/mgentryphase/text/en/expl/mg010.ptx	ptx	1	{1B}BRules{1B}{1B}\nControl the chocobo by sliding\nthe stylus. Tap twice to initiate\na rolling attack. Use this to\nknock opponents away from\nthe right panel.{00}
romdata/PUD/mgentryphase/text/en/expl/mg011.ptx	ptx	0	{1B}BRules{1B}{1B}\nSwim through the sea tunnel\nwhile dodging any obstacles\nthat appear! Mess up three\ntimes and you'll end up as\nLeviathan's lunch!{00}
romdata/PUD/mgentryphase/text/en/expl/mg011.ptx	ptx	1	{1B}BRules{1B}{1B}\nQuickly slide the stylus up and\ndown to give the chocobo an\nupwards boost. Lifting the stylus\nfrom the touch screen will\ncause the chocobo to sink.{00}
romdata/PUD/mgentryphase/text/en/expl/mg012.ptx	ptx	0	{1B}BRules{1B}{1B}\nCatch the golden fish and feed\nthem to Leviathan!{00}
romdata/PUD/mgentryphase/text/en/expl/mg012.ptx	ptx	1	{1B}BRules{1B}{1B}\nControl the chocobo by sliding\nthe stylus. Tap twice to initiate\na rolling attack. Use this to steal\nfish from your opponents.{00}
romdata/PUD/mgentryphase/text/en/expl/mg013.ptx	ptx	0	{1B}BRules{1B}{1B}\nGather the scattered puzzle\npieces to build three different\nhouses! You'll receive a bonus\nfor completing a house.{00}
romdata/PUD/mgentryphase/text/en/expl/mg013.ptx	ptx	1	{1B}BRules{1B}{1B}\nControl the chocobo by sliding\nthe stylus. Land on a puzzle\npiece to pick it up, then release\nit over the house.{00}
romdata/PUD/mgentryphase/text/en/expl/mg014.ptx	ptx	0	{1B}BRules{1B}{1B}\nRun and hide to avoid the\nTonberries! Once you've\nbeen spotted, they'll give chase!{00}
romdata/PUD/mgentryphase/text/en/expl/mg014.ptx	ptx	1	{1B}BRules{1B}{1B}\nControl the chocobo by sliding\nthe stylus. Tap twice to initiate\na rolling attack. Use this to\nknock your opponents towards\nthe Tonberries.{00}
romdata/PUD/mgentryphase/text/en/expl/mg015.ptx	ptx	0	{1B}BRules{1B}{1B}\nComplete the maze without\ntouching the electrified walls!\nIf you get zapped, you'll be\nwarped back to the last flag!{00}
romdata/PUD/mgentryphase/text/en/expl/mg015.ptx	ptx	1	{1B}BRules{1B}{1B}\nSlide the stylus to move\nthrough the maze,\nbut watch your step.{00}
romdata/PUD/mgentryphase/text/en/expl/mg016.ptx	ptx	0	{1B}BRules{1B}{1B}\nDodge Ramuh's deadly lightning\nattacks!{00}
romdata/PUD/mgentryphase/text/en/expl/mg016.ptx	ptx	1	{1B}BRules{1B}{1B}\nControl the chocobo by sliding\nthe stylus. Tap twice to initiate\na rolling attack. Use this to\nknock Ramuh and his lightning\ninto your opponents.{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	0	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	1	{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	2	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	3	{1B}C{1B}GObtained 034 Cactuar - Photosynthesis{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	4	{1B}C{1B}GObtained 029　Adamantoise - Slowspell{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	5	{1B}C{1B}GObtained 031　Cactuar - Spinning Needle{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl001.ptx	ptx	6	{1B}C{1B}GObtained 027 Adamantoise - Miraculous Shell{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	0	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	1	{1B}GRescued Sweenie{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	2	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	3	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	4	{1B}C{1B}GObtained 030 Adamantoise - Mighty Guard{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	5	{1B}C{1B}GObtained 067 Bismarck - No Mercy{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl002.ptx	ptx	6	{1B}C{1B}GObtained 072　Bismarck - Maelstrom{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	0	{1B}C{1B}GObtained 049 Shiva - Chilling Whisper{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	1	{1B}GRescued Peachie{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	2	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	3	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	4	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	5	{1B}C{1B}GObtained 003　Ifrit - Flame Ward{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl003.ptx	ptx	6	{1B}C{1B}GObtained 004　Shiva - Extinguish{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	0	{1B}C{1B}GObtained 006 Ifrit - Hellfire{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	1	{1B}GRescued Indie{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	2	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	3	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	4	{1B}C{1B}GObtained 053　Shiva - Diamond Dust{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	5	{1B}C{1B}GObtained 054 Shiva - Heavenly Strike{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl004.ptx	ptx	6	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	0	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	1	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	2	{1B}GRescued Yelro{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	3	{1B}C{1B}GObtained 043　Titan - Gaia's Wrath{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	4	{1B}C{1B}GObtained 007　Bomb - Fiery Tango{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	5	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl005.ptx	ptx	6	{1B}C{1B}GObtained 008 Bomb - Delta Guard{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	0	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	1	{1B}GUnlocked Trial Mode{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	2	{1B}GRescued Jarro{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	3	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	4	{1B}C{1B}GObtained 044　Titan - Boulder Toss{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	5	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl006.ptx	ptx	6	{1B}C{1B}GObtained 047　Titan - Fissure{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	0	{1B}GUnlocked Battle Mode{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	1	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	2	{1B}GRescued Dolly{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	3	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	4	{1B}C{1B}GObtained 019　Phoenix - Fire Strike{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	5	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl007.ptx	ptx	6	{1B}C{1B}GObtained 020　Phoenix - Blazing Barrier{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	0	{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	1	{1B}GRescued Belle{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	2	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	3	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	4	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	5	{1B}C{1B}GObtained 021　Phoenix - Undying Spirit{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl008.ptx	ptx	6	{1B}C{1B}GObtained 023　Phoenix - Flames of Rebirth{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	0	{1B}C{1B}GObtained 085 Cait Sith - Megaphone{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	1	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	2	{1B}GRescued Moggie{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	3	{1B}C{1B}GObtained 037 Unicorn - Rush{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	4	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	5	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl009.ptx	ptx	6	{1B}C{1B}GObtained 039 Unicorn - Fountainhead{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	0	{1B}C{1B}GObtained 038 Unicorn - Healing Kick{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	1	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	2	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	3	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	4	{1B}GRescued Becky{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	5	{1B}C{1B}GObtained 041 Unicorn - Gale Strike{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl010.ptx	ptx	6	{1B}C{1B}GObtained 088 Cait Sith - Cat Rain{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	0	{1B}GUnlocked Battle Mode{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	1	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	2	{1B}GRescued Bruce{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	3	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	4	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	5	{1B}C{1B}GObtained 055 Leviathan - Tail Whip{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl011.ptx	ptx	6	{1B}C{1B}GObtained 056 Leviathan - Thunder Storm{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	0	{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	1	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	2	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	3	{1B}GRescued Zavi{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	4	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	5	{1B}C{1B}GObtained 057 Leviathan - Geyser{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl012.ptx	ptx	6	{1B}C{1B}GObtained 059 Leviathan - Tidal Wave{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	0	{1B}GUnlocked Battle Mode{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	1	{1B}GRescued Joe{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	2	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	3	{1B}C{1B}GObtained 109 Tonberry - Poison Cloud{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	4	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	5	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl013.ptx	ptx	6	{1B}C{1B}GObtained 111 Tonberry - Knife{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	0	{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	1	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	2	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	3	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	4	{1B}GRescued Brow{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	5	{1B}C{1B}GObtained 110 Tonberry - Shadowbind{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl014.ptx	ptx	6	{1B}C{1B}GObtained 112 Tonberry - Karma{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	0	{1B}GUnlocked Battle Mode{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	1	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	2	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	3	{1B}GRescued Grinn{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	4	{1B}C{1B}GObtained 079 Ramuh - Shock{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	5	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl015.ptx	ptx	6	{1B}C{1B}GObtained 081 Ramuh - EM Field{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	0	{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	1	{1B}GUnlocked Epilogue 3{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	2	{1B}GUnlocked Epilogue 1{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	3	{1B}GUnlocked Epilogue 2{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	4	{1B}GRescued Wakaba{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	5	{1B}C{1B}GObtained 080 Ramuh - Thundercloud{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/cl016.ptx	ptx	6	{1B}C{1B}GObtained 083 Ramuh - Judgment Bolt{1B}{1B}{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	0	Finish trial mode within 5 minutes.{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	1	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	2	Conquer battle mode level 2.{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	4	Finish trial mode within 30 seconds.{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	5	Finish trial mode within 25 seconds.{00}
romdata/PUD/mgentryphase/text/en/secret/mg001.ptx	ptx	6	Finish trial mode without taking\nany damage from boulders.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	0	Finish trial mode within 3 minutes.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	4	Finish trial mode within 1 minute.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	5	Finish trial mode within 50 seconds.{00}
romdata/PUD/mgentryphase/text/en/secret/mg002.ptx	ptx	6	Finish trial mode without\nbumping into any walls.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	0	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	4	Score at least 25 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	5	Score at least 40 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg003.ptx	ptx	6	Score at least 60 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	0	Score at least 5 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	4	Score at least 10 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	5	Score at least 20 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg004.ptx	ptx	6	Score at least 30 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	0	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	1	Conquer battle mode level 2.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	4	Climb to at least 50m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	5	Climb to at least 100m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg005.ptx	ptx	6	Climb to at least 200m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	0	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	4	Score at least 5 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	5	Score at least 10 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg006.ptx	ptx	6	Score at least 20 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	0	Score at least 3 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	4	Score at least 8 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	5	Score at least 10 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg007.ptx	ptx	6	Score at least 12 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	0	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	1	Conquer battle mode level 2.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	2	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	3	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	4	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	5	Score at least 10 points in battle mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg008.ptx	ptx	6	Score at least 20 points in battle mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	0	Score at least 5 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	1	Conquer battle mode level 2.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	2	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	3	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	4	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	5	Score at least 15 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg009.ptx	ptx	6	Score at least 20 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	0	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	1	Conquer battle mode level 2.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	2	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	3	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	4	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	5	Score at least 10 points in battle mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg010.ptx	ptx	6	Score at least 15 points in battle mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	0	Swim at least 10m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	4	Swim at least 20m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	5	Swim at least 50m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg011.ptx	ptx	6	Swim at least 100m in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	0	Conquer battle mode level 1.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	1	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	2	Conquer battle mode level 4.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	3	Conquer battle mode level 5.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	4	Conquer battle mode level 2 with at least 15 points.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	5	Conquer battle mode level 4 with at least 10 points.{00}
romdata/PUD/mgentryphase/text/en/secret/mg012.ptx	ptx	6	Conquer battle mode level 5 with at least 20 points.{00}
romdata/PUD/mgentryphase/text/en/secret/mg013.ptx	ptx	0	Score at least 5 points in trial mode.{00}
romdata/PUD/mgentryphase/text/en/secret/mg013.ptx	ptx	1	Conquer battle mode level 2.{00}
romdata/PUD/mgentryphase/text/en/secret/mg013.ptx	ptx	2	Conquer battle mode level 3.{00}
romdata/PUD/mgentryphase/text/en/secret/mg013.ptx	ptx	3	Conquer battle mode level 4.{00}
